name,carbon_2007,latitude,energy_2000,country,parentcomp_id,carbon_2000,carbon_nextdecade,intensity_2007,company_id,plant_id,longitude,intensity_nextdecade,city_name,energy_2007,energy_nextdecade,intensity_2000,state,state_code,is_renewable,intensity_category,carbon_change_2000_2007,carbon_change_2007_future,energy_change_2000_2007,energy_change_2007_future,carbon_growing,carbon_declining,is_high_emitter,is_clean_plant,size_category,region,intensity_category_low,intensity_category_medium,intensity_category_unknown,size_category_medium,size_category_small,size_category_zero,state_Australian CapitalTerritory,state_AustralianCapital Territory,state_AustralianCapitalTerritory,state_New SouthWales,state_NewSouthWales,state_NorthernTerritory,state_Queensland,state_SouthAustralia,state_Tasmania,state_Victoria,state_WesternAustralia,region_Queensland,region_Tasmania,region_Victoria,company_plants_count,parent_plants_count
JEERALANG,23609.17725,-38.23,60647.79775,Australia,Unknown,15880.16725,35315.901,1376.412,ECOGENENERGY,20246,146.4,1376.412,Morwell,102063.5887,192756.11575000003,1266.933,Victoria,VIC,0,medium,7729.01,11706.723749999997,41415.790949999995,90692.52705000003,1,0,1,0,large,Victoria,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,382
JINDABYNEDAM,0.0,-36.5,0.0,Australia,Unknown,0.0,0.0,0.0,SNOWYHYDROLTD,20414,148.8333,0.0,Dalgety,9735.9463,9735.9463,0.0,New SouthWales,New SouthWales,1,unknown,0.0,0.0,9735.9463,0.0,0,0,0,1,medium,Other,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7,382
JOHN BUTTERS,0.0,-42.08333,60647.79775,Australia,Unknown,0.0,0.0,0.0,HYDROTASMANIA,20518,145.55,0.0,Queenstown,102063.5887,192756.11575000003,0.0,Tasmania,TAS,1,unknown,0.0,0.0,41415.790949999995,90692.52705000003,0,0,0,1,large,Tasmania,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,11,382
JULIACREEK,18.6998,-20.65,14.016,Australia,Unknown,17.4157,18.6998,2668.3501,ERGONENERGY CORPLTD,20679,141.7333,2668.3501,JuliaCreek,14.016,14.016,2485.1201,Queensland,QLD,0,high,1.2840999999999987,0.0,0.0,0.0,1,0,0,0,small,Queensland,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,5,382
JUNDAH,231.1629,-24.83333,203.9962,Australia,Unknown,202.3646,231.1629,2118.209,ERGON ENERGY CORPLTD,20693,143.0667,2118.209,Jundah,218.2626,218.2626,1984.0031,Queensland,QLD,0,high,28.798300000000012,0.0,14.266400000000004,0.0,1,0,0,0,small,Queensland,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,14,382
JURIEN,190.6022,-30.30417,194.1278,Australia,Unknown,193.3798,190.6022,2156.0681,JURIEN POWERSUPPLY,20709,115.0375,2156.0681,Jurien,176.8053,176.8053,1992.2939,WesternAustralia,WesternAustralia,0,high,-2.7775999999999783,0.0,-17.32250000000002,0.0,0,1,0,0,small,Other,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,382
KALAMIA MILL,0.0,-33.86945,20793.5293,Australia,Unknown,0.0,0.0,0.0,CSRSUGAR,20939,151.1939,0.0,Pyrmont,21230.8008,21230.8008,0.0,Queensland,QLD,1,unknown,0.0,0.0,437.27150000000256,0.0,0,0,0,1,medium,Queensland,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,7,382
KALBARRIVERVE,0.0,-27.66667,0.0,Australia,Unknown,0.0,0.0,0.0,VERVEENERGY,20945,114.1667,0.0,Kalbarri,0.0,2576.98,0.0,WesternAustralia,WesternAustralia,1,unknown,0.0,0.0,0.0,2576.98,0,0,0,1,zero,Other,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,382
KALBARRIWPC,0.0,-27.66667,23.5819,Australia,Unknown,0.0,0.0,0.0,WESTERNPOWER,20946,114.1667,0.0,Kalbarri,24.0778,24.0778,0.0,WesternAustralia,WesternAustralia,1,unknown,0.0,0.0,0.4958999999999989,0.0,0,0,0,1,small,Other,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20,382
KALGOORLIE LAKEVIEW,2361.7261,-30.75,20829.7793,Australia,Unknown,2280.917,2361.7261,235.9384,KALGOORLIE LAKEVIEW,20956,121.4667,235.9384,Kalgoorlie,20019.8594,20019.8594,219.0054,WesternAustralia,WesternAustralia,0,low,80.80909999999994,0.0,-809.9198999999971,0.0,1,0,1,0,medium,Other,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,382
