state_Qld,state_NSW,state_NT,state_WA,state_Vic,state_SA,state_Tas,state_ACT,tenure_PRIV,tenure_LEASE,tenure_NCR,tenure_OCL,tenure_MUF,tenure_ND,prior_burns,pixel_count,fires,fire_rate
0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,32,0,0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,84,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,357,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,285,26,0.0912280701754386
1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,45,15,0.3333333333333333
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95,0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,405,0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,379,19,0.05013192612137203
1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,233,29,0.12446351931330472
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,65,17,0.26153846153846155
1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,3,0.42857142857142855
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,591,0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,817,50,0.06119951040391677
1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,486,80,0.1646090534979424
1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,220,70,0.3181818181818182
1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,42,20,0.47619047619047616
