holdercnt,legal_area,grantyear,grantmonth,grantday,grantdayofweek,grantquarter,startyear,startmonth,startday,startdayofweek,startquarter,endyear,endmonth,endday,enddayofweek,endquarter,is_live,type_COAL MINING LEASE,type_EXPLORATION LICENCE,survstatus_SURVEYED,survstatus_UNSURVEYED,fmt_tenid_freq
2.0,25.0,2016,5,23,0,2,2015,10,6,1,4,2026,5,22,4,2,1,0,1,0,1,0.0002
1.0,5.0,2016,7,4,0,3,2015,10,30,4,4,2026,7,3,4,3,1,0,1,0,1,0.0002
1.0,4.0,2020,8,5,2,3,2015,12,31,3,4,2030,8,4,6,3,1,0,1,0,1,0.0002
1.0,10.0,2017,7,11,1,3,2016,2,8,0,1,2027,7,10,5,3,1,0,1,0,1,0.0002
1.0,9.0,2017,7,11,1,3,2016,2,8,0,1,2027,7,10,5,3,1,0,1,0,1,0.0002
1.0,22.0,2018,8,16,3,3,2016,3,30,2,1,2028,8,15,1,3,1,0,1,0,1,0.0002
1.0,26.0,2017,3,30,3,1,2016,5,4,2,2,2027,3,29,0,1,1,0,1,0,1,0.0002
1.0,143.0,2020,7,15,2,3,2016,6,30,3,2,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,16.0,2017,2,8,2,1,2016,7,13,2,3,2027,2,7,6,1,1,0,1,0,1,0.0002
1.0,2.0,2017,9,11,0,3,2016,8,5,4,3,2027,9,10,4,3,1,0,1,0,1,0.0002
1.0,19.0,2017,5,15,0,2,2016,10,21,4,4,2027,5,14,4,2,1,0,1,0,1,0.0002
1.0,9.0,2017,6,6,1,2,2016,11,3,3,4,2027,6,5,5,2,1,0,1,0,1,0.0002
3.0,8.0,2018,4,5,3,2,2016,12,15,3,4,2028,4,4,1,2,1,0,1,0,1,0.0002
1.0,4.0,2019,2,27,2,1,2017,2,17,4,1,2029,2,26,0,1,1,0,1,0,1,0.0002
2.0,34.0,2024,7,1,0,3,2017,3,15,2,1,2029,6,30,5,2,1,0,1,0,1,0.0002
2.0,2.0,2018,12,11,1,4,2017,3,15,2,1,2028,12,10,6,4,1,0,1,0,1,0.0002
1.0,23.0,2025,9,10,2,3,2017,3,15,2,1,2030,9,9,0,3,1,0,1,0,1,0.0002
1.0,27.0,2018,5,30,2,2,2017,6,19,0,2,2028,5,29,0,2,1,0,1,0,1,0.0002
1.0,47.0,2018,5,8,1,2,2018,1,3,2,1,2028,5,7,6,2,1,0,1,0,1,0.0002
1.0,3.0,2018,8,8,2,3,2018,1,8,0,1,2028,8,7,0,3,1,0,1,0,1,0.0002
1.0,85.0,2025,6,10,1,2,2018,3,29,3,1,2030,6,9,6,2,1,0,1,0,1,0.0002
1.0,15.0,2019,10,3,3,4,2018,6,20,2,2,2029,10,2,1,4,1,0,1,0,1,0.0002
1.0,101.0,2025,5,5,0,2,2018,7,4,2,3,2030,5,4,5,2,1,0,1,0,1,0.0002
1.0,29.0,2019,5,21,1,2,2018,7,24,1,3,2029,5,20,6,2,1,0,1,0,1,0.0002
1.0,1.0,2020,2,3,0,1,2018,8,14,1,3,2030,2,2,5,1,1,0,1,0,1,0.0002
2.0,35.0,2024,10,17,3,4,2018,10,15,0,4,2029,10,16,1,4,1,0,1,0,1,0.0002
1.0,17.0,2020,7,15,2,3,2018,12,5,2,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,37.0,2020,7,15,2,3,2019,2,25,0,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,14.0,2025,2,5,2,1,2019,2,25,0,1,2030,2,4,0,1,1,0,1,0,1,0.0002
1.0,8.0,2020,1,29,2,1,2019,2,26,1,1,2030,1,28,0,1,1,0,1,0,1,0.0002
1.0,32.0,2025,6,11,2,2,2019,2,27,2,1,2030,6,10,0,2,1,0,1,0,1,0.0002
2.0,28.0,2024,9,19,3,3,2019,2,27,2,1,2029,9,18,1,3,1,0,1,0,1,0.0002
1.0,19.0,2020,7,15,2,3,2019,3,21,3,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,27.0,2020,1,21,1,1,2019,3,22,4,1,2030,1,20,6,1,1,0,1,0,1,0.0002
1.0,17.0,2025,2,17,0,1,2019,6,4,1,2,2030,2,16,5,1,1,0,1,0,1,0.0002
1.0,42.0,2025,7,2,2,3,2019,7,18,3,3,2030,7,1,0,3,1,0,1,0,1,0.0002
1.0,37.0,2020,7,15,2,3,2019,9,10,1,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,37.0,2020,7,15,2,3,2019,9,13,4,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,16.0,2020,7,15,2,3,2019,12,13,4,4,2027,6,15,2,2,0,0,1,0,1,0.0002
2.0,200.0,2021,7,9,4,3,2020,2,26,2,1,2026,7,8,2,3,1,0,1,0,1,0.0002
1.0,4.0,2021,4,22,3,2,2020,3,5,3,1,2026,4,21,1,2,1,0,1,0,1,0.0002
1.0,4.0,2021,6,22,1,2,2020,3,5,3,1,2026,6,21,6,2,1,0,1,0,1,0.0002
2.0,22.0,2021,7,13,1,3,2020,8,13,3,3,2026,7,12,6,3,1,0,1,0,1,0.0002
1.0,1.0,2023,3,28,1,1,2021,6,8,1,2,2028,3,27,0,1,1,0,1,0,1,0.0002
1.0,29.0,2023,9,7,3,3,2021,6,18,4,2,2028,9,6,2,3,1,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,200.0,2020,7,15,2,3,2021,8,25,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,16.0,2022,12,5,0,4,2021,9,23,3,3,2027,12,4,5,4,1,0,1,0,1,0.0002
1.0,12.0,2020,7,15,2,3,2021,9,30,3,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,9.0,2020,7,15,2,3,2021,10,20,2,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,12.0,2020,7,15,2,3,2021,11,24,2,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,33.0,2025,7,4,4,3,2021,12,22,2,4,2030,7,3,2,3,1,0,1,0,1,0.0002
1.0,27.0,2020,7,15,2,3,2022,12,15,3,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,10.0,2020,7,15,2,3,2022,12,15,3,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,1.0,2023,10,19,3,4,2023,1,25,2,1,2028,10,18,2,4,1,0,1,0,1,0.0002
1.0,1.0,2025,8,4,0,3,2023,2,10,4,1,2030,8,3,5,3,1,0,1,0,1,0.0002
1.0,3.0,2025,8,4,0,3,2023,2,10,4,1,2030,8,3,5,3,1,0,1,0,1,0.0002
1.0,3.0,2025,8,4,0,3,2023,2,10,4,1,2030,8,3,5,3,1,0,1,0,1,0.0002
1.0,4.0,2025,8,4,0,3,2023,2,10,4,1,2030,8,3,5,3,1,0,1,0,1,0.0002
1.0,2.0,2020,7,15,2,3,2023,2,23,3,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,2.0,2024,2,8,3,1,2023,3,21,1,1,2029,2,7,2,1,1,0,1,0,1,0.0002
1.0,8.0,2020,7,15,2,3,2023,5,3,2,2,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,6.0,2024,4,16,1,2,2023,5,25,3,2,2029,4,15,6,2,1,0,1,0,1,0.0002
1.0,20.0,2020,7,15,2,3,2023,7,13,3,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,1.0,2025,5,27,1,2,2023,9,20,2,3,2030,5,26,6,2,1,0,1,0,1,0.0002
1.0,62.0,2020,7,15,2,3,2023,9,21,3,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,1.0,2020,7,15,2,3,2023,9,21,3,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,25.0,2024,11,8,4,4,2023,10,3,1,4,2029,11,7,2,4,1,0,1,0,1,0.0002
1.0,9.0,2020,7,15,2,3,2023,10,3,1,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,15.0,2025,3,27,3,1,2023,11,7,1,4,2030,3,26,1,1,1,0,1,0,1,0.0002
1.0,1.0,2025,2,20,3,1,2023,11,9,3,4,2030,2,19,1,1,1,0,1,0,1,0.0002
1.0,1.0,2020,7,15,2,3,2023,12,21,3,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,46.0,2020,7,15,2,3,2024,4,18,3,2,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,8.0,2025,9,15,0,3,2024,4,29,0,2,2030,9,14,5,3,1,0,1,0,1,0.0002
1.0,112.0,2020,7,15,2,3,2024,11,11,0,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,154.0,2020,7,15,2,3,2024,11,26,1,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,10.0,2025,11,3,0,4,2024,12,10,1,4,2030,11,2,5,4,1,0,1,0,1,0.0002
1.0,19.0,2020,7,15,2,3,2024,12,19,3,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,10.0,2020,7,15,2,3,2025,1,16,3,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,19.0,2020,7,15,2,3,2025,1,21,1,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,6.0,2020,7,15,2,3,2025,1,21,1,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,4.0,2025,11,19,2,4,2025,2,5,2,1,2030,11,18,0,4,1,0,1,0,1,0.0002
1.0,71.0,2020,7,15,2,3,2025,2,7,4,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,32.0,2020,7,15,2,3,2025,2,12,2,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,25.0,2020,7,15,2,3,2025,4,11,4,2,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,61.0,2020,7,15,2,3,2025,5,9,4,2,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,5.0,2020,7,15,2,3,2025,7,28,0,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,7.0,2020,7,15,2,3,2025,8,26,1,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,25.0,2020,7,15,2,3,2025,8,26,1,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,4.0,2020,7,15,2,3,2025,8,27,2,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,86.0,2020,7,15,2,3,2025,9,18,3,3,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,88.0,2020,7,15,2,3,2025,10,17,4,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,87.0,2020,7,15,2,3,2025,10,17,4,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,12.0,2020,7,15,2,3,2025,11,14,4,4,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,112.0,2020,7,15,2,3,2025,11,20,3,4,2027,6,15,2,2,0,0,1,0,1,0.0002
