id,year_scaled,kilometers_scaled,cc_scaled,seating_capacity_scaled,decade_1980s,decade_1990s,decade_2000s,decade_2010s,decade_2020s,gearbox_Automatic,gearbox_Manual,fuel_Diesel,fuel_Premium Unleaded Petrol,fuel_Unleaded Petrol,fuel_Premium Unleaded/Electric,fuel_Unleaded Petrol/Electric,status_Demo,status_New In Stock,status_Used,price
12781488,-0.3137264503886596,0.5199349601614459,-0.5599074676891753,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.0,1,34990.0
12781490,-0.9491054381793366,1.9072829958825317,1.6918300721251167,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,8990.0
12781491,0.7452385292624686,-0.5239119645738309,1.0931808168270571,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,39400.0
12781521,0.7452385292624686,-0.7946761992235312,-0.05876547745860275,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,42990.0
12781545,1.3806175170531456,-1.1779718057257613,-0.5587736622814138,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0.0,1,96800.0
12781552,0.7452385292624686,-1.0213680300887948,2.232655251627341,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,119990.0
12781589,1.1688245211229198,-0.9681428923355813,0.29611561517073937,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,74999.0
12781591,1.3806175170531456,-1.1179567321750585,2.232655251627341,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,112999.0
12781604,0.10985954147179167,0.9130423969644437,-0.11205433162339214,-2.777566983217997,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,22990.0
12781606,0.7452385292624686,-0.23765274823242427,-0.05876547745860275,-0.9947035283374303,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,42990.0
12781612,1.1688245211229198,-1.2359349756013986,0.5682289130334937,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,1,175000.0
