id,brand,model,variant,series,year,decade,price,price_bracket,kilometers,odometer_category,type,gearbox,fuel,status,cc,color,seating_capacity
12791311,Holden,Commodore,SV6,VZ,2005,2000s,8600.0,budget,196480.0,high,Sedan,Automatic,Unleaded Petrol,Used,3565.0,Red,5
12791353,Honda,Civic,VTI-L,MY17,2017,2010s,27990.0,economy,80670.0,average,Hatchback,Automatic,Unleaded Petrol,Used,1498.0,White,5
12791355,Ford,Escape,Titanium (awd),ZG,2017,2010s,34990.0,mid_range,67999.0,average,Wagon,Automatic,Premium Unleaded Petrol,Used,1999.0,White,5
12791367,Volkswagen,Tiguan,162 TSI Sportline,5NA MY18,2018,2010s,40990.0,mid_range,59443.0,moderate,Wagon,Automatic,Premium Unleaded Petrol,Used,1984.0,Metalic,5
12791370,Volkswagen,Polo,GTI,6R MY17,2017,2010s,21000.0,economy,107000.0,average,Hatchback,Manual,Premium Unleaded Petrol,Used,1798.0,Blue,5
12791377,Bmw,X3,Xdrive 30D,F25 MY15,2015,2010s,43500.0,mid_range,100383.0,average,Wagon,Automatic,Diesel,Used,2993.0,White,5
12791417,Mazda,3,SP25,BM,2015,2010s,21790.0,economy,107300.0,average,Hatchback,Automatic,Unleaded Petrol,Used,2488.0,Snowflake,5
12791420,Ford,Focus,Trend,LW MK2,2012,2010s,13500.0,budget,38500.0,moderate,Hatchback,Automatic,Unleaded Petrol,Used,1999.0,Silver,5
12791421,Volkswagen,Passat,CC V6 FSI,3C,2009,2000s,10888.0,budget,188000.0,high,Coupe,Automatic,Premium Unleaded Petrol,Used,3597.0,Gold,4
12791428,Mercedes-Benz,G63,AMG,463 MY13,2014,2010s,199500.0,luxury,47545.0,moderate,Wagon,Automatic,Premium Unleaded Petrol,Used,5461.0,Black,5
12791458,Toyota,Landcruiser,Sahara (4X4),UZJ100R Upgrade,2007,2000s,64000.0,premium,199921.0,high,Wagon,Automatic,Unleaded Petrol,Used,4664.0,Grey,8
12791506,Toyota,Hilux,SR5 (4X4),KUN26R MY12,2012,2010s,27000.0,economy,120000.0,average,Dual Cab Pick-Up,Manual,Diesel,Used,2982.0,Gray,5
12791566,Volkswagen,Golf,90 TSI Trendline,1K MY10,2010,2010s,6790.0,budget,177000.0,high,Hatchback,Automatic,Premium Unleaded Petrol,Used,1390.0,Red,5
12791574,Mitsubishi,Triton,Exceed (4X4),MQ MY16 Upgrade,2016,2010s,40800.0,mid_range,110311.0,average,Dual Cab Utility,Automatic,Diesel,Used,2440.0,Blue,5
12791599,Volvo,XC60,D4 Luxury,DZ MY16,2016,2010s,28989.0,economy,119051.0,average,Wagon,Automatic,Diesel,Used,2400.0,White,5
12791606,Jeep,Renegade,Longitude,BU,2016,2010s,21490.0,economy,86224.0,average,Wagon,Automatic,Premium Unleaded Petrol,Used,1368.0,Blue,5
12791662,Hyundai,I30,GO,PD MY19,2018,2010s,23990.0,economy,80385.0,average,Hatchback,Automatic,Unleaded Petrol,Used,1999.0,White,5
12791664,Mazda,2,NEO,DE,2010,2010s,12336.0,budget,81781.0,average,Hatchback,Automatic,Unleaded Petrol,Used,1498.0,Blue,5
12791671,Subaru,Liberty,2.5I,MY17,2017,2010s,24990.0,economy,75206.0,average,Sedan,Automatic,Premium Unleaded Petrol,Used,2498.0,White,5
12791683,Ford,Fiesta,Sport,WZ,2017,2010s,15890.0,economy,52619.0,moderate,Hatchback,Manual,Unleaded Petrol,Used,998.0,Red,5
12791685,Holden,Commodore,Omega,VE II MY12,2012,2010s,7990.0,budget,275096.0,very_high,Sedan,Automatic,Unleaded Petrol,Used,2997.0,White,5
12791690,Volkswagen,Amarok,TDI420 Ultimate (4X4),2H MY15,2015,2010s,39990.0,mid_range,120875.0,high,Dual Cab Utility,Automatic,Diesel,Used,1968.0,White,5
12791723,Ford,Ranger,FX4 Special Edition,PX Mkii MY18,2018,2010s,50990.0,premium,90184.0,average,Dual Cab Utility,Automatic,Diesel,Used,3198.0,Grey,5
12791724,Skoda,Scala,110 TSI Launch Edition,MY20,2020,2020s,33000.0,mid_range,29670.0,moderate,Hatchback,Automatic,Premium Unleaded Petrol,Used,1498.0,White,5
12791731,Ford,Ranger,XLT 3.2 (4X4),PX Mkii MY17,2017,2010s,45850.0,mid_range,87986.0,average,Dual Cab Utility,Automatic,Diesel,Used,3198.0,White,5
12791741,Jeep,Grand Cherokee,Overland (4X4),WK,2012,2010s,26888.0,economy,63785.0,average,Wagon,Automatic,Diesel,Used,2987.0,Grey,5
12791743,Bmw,X4,Xdrive 35I,F26 MY15,2015,2010s,40989.0,mid_range,127829.0,high,Coupe,Automatic,Premium Unleaded Petrol,Used,2979.0,White,5
