count,forest,for_burns,fire_1617_any_fire,fire_1617_unplanned,fire_1617_planned,fire_1718_any_fire,fire_1718_unplanned,fire_1718_planned,fire_1819_any_fire,fire_1819_unplanned,fire_1819_planned,fire_1920_any_fire,fire_1920_unplanned,fire_1920_planned,fire_2021_any_fire,fire_2021_unplanned,fire_2021_planned,total_years_burned,total_unplanned_burns,total_planned_burns,always_burned,any_unplanned_fire,for_ten_MUF,for_ten_NCR,for_ten_ND,for_ten_OCL,for_ten_PRIV,for_ten_Unknown,for_catego_Native forest,for_catego_Non-forest,for_catego_Other forest,state_NSW,state_NT,state_Qld,state_SA,state_Tas,state_Unknown,state_Vic,state_WA
5838,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
16305,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
415,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
20,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
10303,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4683,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
7,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
49,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
633,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
7831,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
375,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
12037,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
33888,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3024,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1766,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
655,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
418,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
775293,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
79997,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
26,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3599,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
17349,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1900,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
11755,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
32019,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
26907,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
26871,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
20109,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
23666,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1494,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3582,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
14663,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8925,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
11322,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
40614,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2987,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2314,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
48881,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
27,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3685,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
10422,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
118419,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
52761,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
10138,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
358,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4091,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
22509,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1147,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
15,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
121914,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1021,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1680,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
351,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
996,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
12,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
294,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
17,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
72,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
43,1,3,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,5,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
358,1,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
12,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1158,1,3,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,5,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
12,1,3,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21,1,3,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,5,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
202,1,3,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,5,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,2,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,5,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
68,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
15,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
