iso_code,country,sex_ratio_trend,decade,sex_ratio_infant,sex_ratio_child,sex_ratio_under5,imr_male,imr_female,imr_both,cmr_male,cmr_female,cmr_both,u5mr_male,u5mr_female,u5mr_both,method,decade_num,has_trend,infant_child_ratio,under5_child_ratio,imr_sex_gap,u5mr_sex_gap,method_Average,method_Linear,method_Loess,country_freq,region,region_East Asia & Pacific,region_Europe & Central Asia,region_Middle East & South Asia,region_Northern Africa,region_Oceania,region_Sub-Saharan Africa
643,Russian Federation,Y,2000s,131.0,129.0,130,14.9,11.4,13.2,3.9,3.0,3.4,18.7,14.3,16.6,Loess,2000,1,3.8823529411764706,4.882352941176471,3.5,4.399999999999999,False,False,True,4,Oceania,False,False,False,False,True,False
646,Rwanda,Y,1970s,114.0,108.0,111,142.0,124.5,133.3,106.7,98.5,102.6,233.5,210.7,222.2,Linear,1970,1,1.2992202729044837,2.165692007797271,17.5,22.80000000000001,False,True,False,4,Oceania,False,False,False,False,True,False
646,Rwanda,Y,1980s,114.0,108.0,111,129.8,114.2,122.1,67.3,62.5,64.8,188.3,169.6,179.0,Linear,1980,1,1.8842592592592593,2.7623456790123457,15.600000000000009,18.700000000000017,False,True,False,4,Oceania,False,False,False,False,True,False
646,Rwanda,Y,1990s,113.0,110.0,111,130.4,115.2,122.8,97.1,88.0,92.5,214.8,193.0,203.9,Linear,1990,1,1.3275675675675676,2.2043243243243245,15.200000000000003,21.80000000000001,False,True,False,4,Oceania,False,False,False,False,True,False
646,Rwanda,Y,2000s,113.0,110.0,112,110.2,97.8,104.0,42.1,38.4,40.2,147.6,132.4,140.0,Linear,2000,1,2.587064676616915,3.4825870646766166,12.400000000000006,15.199999999999989,False,True,False,4,Oceania,False,False,False,False,True,False
686,Senegal,Y,1970s,116.0,97.0,104,111.2,95.6,103.5,158.0,162.8,124.94999999999999,251.5,242.7,247.2,Linear,1970,1,0.8283313325330133,1.9783913565426172,15.600000000000009,8.800000000000011,False,True,False,4,Oceania,False,False,False,False,True,False
686,Senegal,Y,1980s,117.0,100.0,107,90.8,77.4,84.2,97.5,97.4,97.5,179.4,167.3,173.4,Linear,1980,1,0.8635897435897436,1.7784615384615385,13.399999999999991,12.099999999999994,False,True,False,4,Oceania,False,False,False,False,True,False
686,Senegal,Y,1990s,118.0,105.0,111,74.8,63.2,69.1,76.8,72.9,74.9,145.8,131.5,138.8,Linear,1990,1,0.9225634178905205,1.8531375166889186,11.599999999999994,14.300000000000011,False,True,False,4,Oceania,False,False,False,False,True,False
686,Senegal,Y,2000s,119.0,110.0,115,62.7,52.5,57.7,52.7,47.9,50.3,112.1,97.9,105.1,Linear,2000,1,1.1471172962226641,2.0894632206759445,10.200000000000003,14.199999999999989,False,True,False,4,Oceania,False,False,False,False,True,False
688,Serbia,Y,1980s,106.0,101.0,105,35.1,33.0,34.1,6.8,6.7,6.7,41.6,39.5,40.6,Loess,1980,1,5.08955223880597,6.059701492537314,2.1000000000000014,2.1000000000000014,False,False,True,3,Oceania,False,False,False,False,True,False
688,Serbia,Y,1990s,122.0,111.0,121,18.1,14.8,16.5,2.7,2.4,2.5,20.7,17.2,19.0,Loess,1990,1,6.6,7.6,3.3000000000000007,3.5,False,False,True,3,Oceania,False,False,False,False,True,False
688,Serbia,Y,2000s,132.0,124.0,131,9.1,6.8,8.0,1.4,1.2,1.3,10.5,8.0,9.3,Loess,2000,1,6.153846153846153,7.153846153846154,2.3,2.5,False,False,True,3,Oceania,False,False,False,False,True,False
694,Sierra Leone,Y,1980s,116.0,115.0,115,155.1,133.4,144.4,117.3,102.1,109.7,254.1,221.8,238.2,Linear,1980,1,1.316317228805834,2.1713764813126706,21.69999999999999,32.29999999999998,False,True,False,3,Oceania,False,False,False,False,True,False
694,Sierra Leone,Y,1990s,114.0,115.0,113,171.5,150.5,161.2,144.0,125.0,124.94999999999999,290.8,256.7,274.0,Linear,1990,1,1.2901160464185675,2.1928771508603444,21.0,34.10000000000002,False,True,False,3,Oceania,False,False,False,False,True,False
694,Sierra Leone,Y,2000s,112.0,114.0,112,130.2,116.6,123.5,86.3,75.6,81.0,205.2,183.2,194.3,Linear,2000,1,1.5246913580246915,2.3987654320987657,13.599999999999994,22.0,False,True,False,3,Oceania,False,False,False,False,True,False
702,Singapore,Y,1970s,130.0,104.0,124,16.5,12.8,14.7,3.6,3.5,3.6,20.1,16.2,18.2,Loess,1970,1,4.083333333333333,5.055555555555555,3.6999999999999993,3.900000000000002,False,False,True,4,Oceania,False,False,False,False,True,False
702,Singapore,Y,1980s,124.0,109.0,121,9.7,7.8,8.8,2.2,2.0,2.1,11.9,9.8,10.9,Loess,1980,1,4.190476190476191,5.190476190476191,1.8999999999999995,2.0999999999999996,False,False,True,4,Oceania,False,False,False,False,True,False
702,Singapore,Y,1990s,123.0,112.0,120,4.5,3.7,4.1,1.2,1.0,1.1,5.7,4.7,5.2,Loess,1990,1,3.7272727272727266,4.727272727272727,0.7999999999999998,1.0,False,False,True,4,Oceania,False,False,False,False,True,False
702,Singapore,Y,2000s,129.0,111.0,124,2.6,2.0,2.3,0.7,0.7,0.7,3.3,2.7,3.0,Loess,2000,1,3.2857142857142856,4.285714285714286,0.6000000000000001,0.5999999999999996,False,False,True,4,Oceania,False,False,False,False,True,False
703,Slovakia,Y,1980s,132.0,121.0,130,21.4,16.3,18.9,3.2,2.7,3.0,24.6,18.9,21.8,Loess,1980,1,6.3,7.266666666666667,5.099999999999998,5.700000000000003,False,False,True,3,Oceania,False,False,False,False,True,False
703,Slovakia,Y,1990s,129.0,122.0,128,13.6,10.5,12.1,2.5,2.1,2.3,16.1,12.6,14.4,Loess,1990,1,5.260869565217392,6.260869565217392,3.0999999999999996,3.5000000000000018,False,False,True,3,Oceania,False,False,False,False,True,False
703,Slovakia,Y,2000s,126.0,123.0,125,9.0,7.2,8.1,2.0,1.6,1.8,11.0,8.8,9.9,Loess,2000,1,4.5,5.5,1.7999999999999998,2.1999999999999993,False,False,True,3,Oceania,False,False,False,False,True,False
705,Slovenia,Y,1980s,127.0,122.0,126,13.6,10.7,12.2,2.3,1.9,2.1,15.9,12.6,14.3,Loess,1980,1,5.809523809523809,6.809523809523809,2.9000000000000004,3.3000000000000007,False,False,True,3,Oceania,False,False,False,False,True,False
705,Slovenia,Y,1990s,132.0,140.0,133,6.8,5.2,6.0,1.5,1.1,1.3,8.3,6.2,7.3,Loess,1990,1,4.615384615384615,5.615384615384615,1.5999999999999996,2.1000000000000005,False,False,True,3,Oceania,False,False,False,False,True,False
705,Slovenia,Y,2000s,111.0,141.0,116,3.6,3.2,3.4,0.9,0.7,0.8,4.5,3.9,4.2,Loess,2000,1,4.25,5.25,0.3999999999999999,0.6000000000000001,False,False,True,3,Oceania,False,False,False,False,True,False
706,Somalia,Y,1980s,119.0,117.0,117,143.8,120.7,132.5,109.9,94.1,102.0,237.9,203.4,220.9,Linear,1980,1,1.2990196078431373,2.1656862745098038,23.10000000000001,34.5,False,True,False,3,Oceania,False,False,False,False,True,False
706,Somalia,Y,1990s,113.0,109.0,111,140.1,123.6,131.9,105.6,97.0,101.3,230.8,208.5,219.8,Linear,1990,1,1.3020730503455085,2.1697926949654494,16.5,22.30000000000001,False,True,False,3,Oceania,False,False,False,False,True,False
706,Somalia,Y,2000s,108.0,100.0,104,112.5,104.6,108.6,77.8,77.5,77.6,181.5,174.0,177.8,Linear,2000,1,1.3994845360824744,2.291237113402062,7.900000000000006,7.5,False,True,False,3,Oceania,False,False,False,False,True,False
710,South Africa,Y,1970s,126.0,111.0,121,82.1,65.4,73.9,33.4,30.0,31.7,112.7,93.4,103.2,Linear,1970,1,2.331230283911672,3.2555205047318614,16.69999999999999,19.299999999999997,False,True,False,4,Oceania,False,False,False,False,True,False
710,South Africa,Y,1980s,122.0,110.0,119,62.2,50.9,56.7,21.0,19.0,20.0,81.9,69.0,75.5,Linear,1980,1,2.835,3.775,11.300000000000004,12.900000000000006,False,True,False,4,Oceania,False,False,False,False,True,False
710,South Africa,Y,1990s,119.0,112.0,117,57.7,48.6,53.2,19.4,17.4,18.4,76.0,65.1,70.7,Linear,1990,1,2.8913043478260874,3.8423913043478266,9.100000000000001,10.900000000000006,False,True,False,4,Oceania,False,False,False,False,True,False
710,South Africa,Y,2000s,115.0,114.0,115,61.0,52.9,57.0,27.9,24.4,26.2,87.2,76.0,81.7,Linear,2000,1,2.1755725190839694,3.118320610687023,8.100000000000001,11.200000000000003,False,True,False,4,Oceania,False,False,False,False,True,False
724,Spain,Y,1970s,126.0,123.0,126,21.4,16.9,19.2,4.3,3.5,3.9,25.5,20.3,23.0,Loess,1970,1,4.923076923076923,5.897435897435898,4.5,5.199999999999999,False,False,True,4,Oceania,False,False,False,False,True,False
724,Spain,Y,1980s,125.0,124.0,125,12.3,9.8,11.1,2.7,2.2,2.4,14.9,12.0,13.5,Loess,1980,1,4.625,5.625,2.5,2.9000000000000004,False,False,True,4,Oceania,False,False,False,False,True,False
724,Spain,Y,1990s,123.0,121.0,122,7.2,5.9,6.6,1.9,1.5,1.7,9.1,7.4,8.3,Loess,1990,1,3.8823529411764706,4.882352941176471,1.2999999999999998,1.6999999999999993,False,False,True,4,Oceania,False,False,False,False,True,False
724,Spain,Y,2000s,121.0,117.0,120,5.0,4.2,4.6,1.2,1.0,1.1,6.2,5.2,5.7,Loess,2000,1,4.181818181818181,5.181818181818182,0.7999999999999998,1.0,False,False,True,4,Oceania,False,False,False,False,True,False
144,Sri Lanka,Y,1970s,122.0,91.0,111,51.7,42.4,47.1,20.6,22.7,21.6,71.1,64.1,67.7,Linear,1970,1,2.1805555555555554,3.134259259259259,9.300000000000004,7.0,False,True,False,4,Europe & Central Asia,False,True,False,False,False,False
144,Sri Lanka,Y,1980s,123.0,92.0,115,29.9,24.4,27.2,7.6,8.3,7.9,37.3,32.5,34.9,Linear,1980,1,3.443037974683544,4.417721518987341,5.5,4.799999999999997,False,True,False,4,Europe & Central Asia,False,True,False,False,False,False
144,Sri Lanka,Y,1990s,123.0,101.0,119,22.6,18.3,20.5,4.6,4.6,4.6,27.1,22.9,25.0,Linear,1990,1,4.4565217391304355,5.434782608695652,4.300000000000001,4.200000000000003,False,True,False,4,Europe & Central Asia,False,True,False,False,False,False
144,Sri Lanka,Y,2000s,124.0,116.0,122,15.7,12.7,14.2,2.7,2.3,2.5,18.3,15.0,16.7,Linear,2000,1,5.68,6.68,3.0,3.3000000000000007,False,True,False,4,Europe & Central Asia,False,True,False,False,False,False
736,Sudan,Y,1970s,118.0,100.0,109,130.7,110.8,121.0,93.9,94.1,94.0,212.4,194.4,203.6,Linear,1970,1,1.2872340425531914,2.1659574468085108,19.89999999999999,18.0,False,True,False,4,Oceania,False,False,False,False,True,False
736,Sudan,Y,1980s,117.0,100.0,110,110.8,94.4,102.8,73.5,73.2,73.3,176.2,160.6,168.6,Linear,1980,1,1.4024556616643928,2.300136425648022,16.39999999999999,15.599999999999994,False,True,False,4,Oceania,False,False,False,False,True,False
736,Sudan,Y,1990s,117.0,102.0,110,92.6,79.2,86.1,60.1,59.1,59.6,147.2,133.7,140.6,Linear,1990,1,1.4446308724832213,2.3590604026845634,13.399999999999991,13.5,False,True,False,4,Oceania,False,False,False,False,True,False
736,Sudan,Y,2000s,116.0,102.0,111,71.9,61.8,67.0,40.2,39.5,39.9,109.2,98.8,104.1,Linear,2000,1,1.6791979949874687,2.6090225563909772,10.100000000000009,10.400000000000006,False,True,False,4,Oceania,False,False,False,False,True,False
748,Swaziland,N,1970s,135.0,102.0,122,132.7,98.6,115.9,61.3,60.0,60.7,185.8,152.7,169.5,Average,1970,0,1.9093904448105437,2.7924217462932455,34.099999999999994,33.10000000000002,True,False,False,4,Oceania,False,False,False,False,True,False
748,Swaziland,N,1980s,135.0,98.0,122,96.0,71.4,83.9,37.2,37.9,37.5,129.6,106.5,118.2,Average,1980,0,2.2373333333333334,3.152,24.599999999999994,23.099999999999994,True,False,False,4,Oceania,False,False,False,False,True,False
748,Swaziland,N,1990s,135.0,97.0,122,85.6,63.6,74.7,31.5,32.5,32.0,114.3,94.0,104.3,Average,1990,0,2.334375,3.259375,21.999999999999993,20.299999999999997,True,False,False,4,Oceania,False,False,False,False,True,False
748,Swaziland,N,2000s,135.0,102.0,122,93.0,69.1,81.3,43.1,42.4,42.8,132.1,108.6,120.5,Average,2000,0,1.8995327102803738,2.815420560747664,23.900000000000006,23.5,True,False,False,4,Oceania,False,False,False,False,True,False
752,Sweden,Y,1970s,129.0,126.0,128,9.9,7.7,8.8,1.8,1.4,1.6,11.7,9.1,10.4,Loess,1970,1,5.5,6.5,2.2,2.5999999999999996,False,False,True,4,Oceania,False,False,False,False,True,False
752,Sweden,Y,1980s,127.0,123.0,126,7.1,5.6,6.4,1.3,1.1,1.2,8.4,6.7,7.6,Loess,1980,1,5.333333333333334,6.333333333333333,1.5,1.7000000000000002,False,False,True,4,Oceania,False,False,False,False,True,False
